iter	Passed	Remaining
308	1960	1211
309	1965	1204
310	1971	1198
311	1977	1191
312	1983	1184
313	1989	1178
314	1995	1171
315	2000	1165
316	2006	1158
317	2012	1151
318	2018	1145
319	2024	1138
320	2029	1131
321	2035	1125
322	2040	1118
323	2045	1111
324	2051	1104
325	2057	1098
326	2062	1091
327	2068	1084
328	2074	1078
329	2080	1071
330	2086	1065
331	2091	1058
332	2097	1052
333	2103	1045
334	2109	1038
335	2114	1032
336	2120	1025
337	2127	1019
338	2132	1012
339	2138	1006
340	2144	1000
341	2150	993
342	2156	986
343	2161	980
344	2167	973
345	2173	967
346	2179	960
347	2184	954
348	2190	947
349	2196	941
350	2201	934
351	2207	928
352	2213	921
353	2219	915
354	2225	909
355	2232	902
356	2238	896
357	2243	889
358	2249	883
359	2255	877
360	2261	870
361	2266	864
362	2272	857
363	2278	851
364	2284	844
365	2290	838
366	2296	832
367	2301	825
368	2307	819
369	2313	812
370	2319	806
371	2324	799
372	2330	793
373	2336	787
374	2342	780
375	2347	774
376	2353	767
377	2359	761
378	2365	755
379	2371	748
380	2376	742
381	2382	735
382	2388	729
383	2393	723
384	2399	716
385	2404	710
386	2410	703
387	2415	697
388	2421	690
389	2427	684
390	2432	678
391	2437	671
392	2443	665
393	2449	658
394	2454	652
395	2460	646
396	2465	639
397	2471	633
398	2477	627
399	2482	620
400	2488	614
401	2493	607
402	2499	601
403	2505	595
404	2510	588
405	2516	582
406	2521	576
407	2527	569
408	2532	563
409	2538	557
410	2543	550
411	2549	544
412	2554	538
413	2560	531
414	2565	525
415	2571	519
416	2576	512
417	2582	506
418	2587	500
419	2593	493
420	2598	487
421	2604	481
422	2610	475
423	2615	468
424	2622	462
425	2627	456
426	2633	450
427	2639	444
428	2644	437
429	2650	431
430	2655	425
431	2661	418
432	2667	412
433	2673	406
434	2679	400
435	2684	394
436	2690	387
437	2696	381
438	2702	375
439	2708	369
440	2714	363
441	2720	356
442	2726	350
443	2732	344
444	2738	338
445	2744	332
446	2750	326
447	2755	319
448	2761	313
449	2767	307
450	2773	301
451	2779	295
452	2785	288
453	2791	282
454	2796	276
455	2803	270
456	2809	264
457	2815	258
458	2821	251
459	2827	245
460	2833	239
461	2839	233
462	2844	227
463	2851	221
464	2857	215
465	2863	208
466	2869	202
467	2875	196
468	2880	190
469	2886	184
470	2892	178
471	2899	172
472	2905	165
473	2911	159
474	2917	153
475	2923	147
476	2929	141
477	2934	135
478	2940	128
479	2946	122
480	2952	116
481	2958	110
482	2964	104
483	2971	98
484	2976	92
485	2982	85
486	2988	79
487	2994	73
488	3000	67
489	3006	61
490	3012	55
491	3018	49
492	3024	42
493	3029	36
494	3036	30
495	3042	24
496	3048	18
497	3053	12
498	3059	6
499	3065	0
