iter	RMSE
401	91601.4333
402	91557.71728
403	91469.96196
404	91441.7974
405	91410.36134
406	91387.27317
407	91360.38413
408	91291.50826
409	91266.40204
410	91239.6184
411	91217.66783
412	91196.73752
413	91174.8609
414	91150.94408
415	91133.45962
416	91106.57837
417	91079.63848
418	91017.95935
419	90964.23793
420	90915.29303
421	90883.12748
422	90862.5933
423	90825.69893
424	90792.40154
425	90771.12104
426	90760.8707
427	90667.20859
428	90608.22528
429	90589.12662
430	90564.10946
431	90545.11497
432	90485.37174
433	90464.01774
434	90447.34038
435	90393.75188
436	90352.53747
437	90313.89462
438	90280.59122
439	90191.77058
440	90169.37447
441	90148.79443
442	90119.99793
443	90086.72107
444	90071.16684
445	90052.77669
446	90020.43703
447	89963.90384
448	89880.68297
449	89860.49274
450	89814.06403
451	89794.19742
452	89773.48172
453	89755.83178
454	89722.78692
455	89701.39032
456	89635.64272
457	89623.57177
458	89606.21556
459	89571.76067
460	89554.00981
461	89501.18154
462	89485.46511
463	89463.1514
464	89374.96479
465	89331.3667
466	89320.66531
467	89288.08893
468	89250.77467
469	89209.3981
470	89173.31499
471	89155.90638
472	89137.4184
473	89117.95823
474	89097.99042
475	89067.89529
476	89052.77967
477	89044.16167
478	89022.36656
479	89006.53946
480	88989.37321
481	88935.40804
482	88910.78661
483	88889.98571
484	88824.3485
485	88811.89859
486	88787.95735
487	88760.0819
488	88741.83874
489	88724.89361
490	88705.88166
491	88696.32648
492	88653.48486
493	88620.38218
494	88601.91647
495	88579.25595
496	88513.89878
497	88493.47704
498	88472.31125
499	88424.00659
